Student,LPIPS,SSIM
113590060.png,0.0,1.0
111590047.png,0.2019241452217102,0.7532194914743913
113590026.png,0.2218361496925354,0.746750598259417
113370239.png,0.22519874572753906,0.7081695540599332
113590051.png,0.23579147458076477,0.7330617655995958
113590039.png,0.24468719959259033,0.735210525428714
113590031.png,0.2596806585788727,0.6734597265559604
113590015.png,0.26761847734451294,0.6710581161363482
113590061.png,0.2831784188747406,0.6849891024239789
113590001.png,0.2841106355190277,0.6808835579984912
113590040.png,0.2860289514064789,0.7175120255606281
113590047.png,0.2907804548740387,0.7563712157320013
111590062.png,0.29103460907936096,0.7025251527570665
113590004.png,0.2985650599002838,0.7680276686058811
113590044.png,0.2987992465496063,0.6531028789965923
113590032.png,0.30437517166137695,0.7252092675532873
111590028.png,0.3109046220779419,0.7050498731944407
113590021.png,0.3221188485622406,0.6557809129335014
113590003.png,0.32262513041496277,0.6700938494032477
113590036.png,0.3252577483654022,0.6337864068430802
110590455.png,0.3310403823852539,0.7028039476150301
113590056.png,0.3315587043762207,0.6877473562854713
112590452.png,0.33392032980918884,0.6844726459007596
112590455.png,0.3361133933067322,0.6706852276899312
112590454.png,0.3375134766101837,0.6313507082996852
112590040.png,0.3376117944717407,0.6466260771181874
113590043.png,0.34024184942245483,0.7768275891015481
113590022.png,0.34038862586021423,0.678986601221755
114054809.png,0.34469810128211975,0.719300219608613
113590052.png,0.34766560792922974,0.6546810906365387
113590025.png,0.3516187369823456,0.7789950423034075
113590045.png,0.35298436880111694,0.6370877543226343
113590062.png,0.37365493178367615,0.6552597404668341
113AB0018.png,0.3783274292945862,0.6366395142801883
111590042.png,0.3824995458126068,0.7779014333485607
113590010.png,0.39275968074798584,0.6128929533962232
113590057.png,0.39661526679992676,0.6390971186424433
113590002.png,0.4034150242805481,0.615302649754029
113AC1012.png,0.4074375629425049,0.6462235809991832
113590018.png,0.41473448276519775,0.6399022297026175
113590006.png,0.4157729744911194,0.588433215199697
113590042.png,0.42756256461143494,0.6018157364736995
113590050.png,0.42875999212265015,0.5939252990535291
113590028.png,0.4342085123062134,0.5804874513862531
113590011.png,0.44451919198036194,0.5900163784218152
113590059.png,0.4464961290359497,0.5547162443270597
113590023.png,0.4516751766204834,0.5734522728478275
113590049.png,0.46965670585632324,0.5032129597527921
113590008.png,0.5274431109428406,0.4731868031362567
111590455.png,0.5323034524917603,0.5235210043929651
112590058.jpg,0.5605291128158569,0.4421598916314423
